# === 非遗核心概念 ===
非物质文化遗产 100 nz
文化传承 100 l
文化输出 100 l
文化自信 100 l
文化自信 100 n
国家队 100 nt
老祖宗 100 n

# === 表演形式与技术 ===
舞狮 100 n
南狮 100 n
北狮 100 n
广东狮 100 ns
佛山狮 100 ns
舞龙 100 n
梅花桩 100 n
高桩舞狮 100 n
采青 100 v
英歌舞 100 n
潮汕英歌舞 100 nz

# === 表演相关名词 ===
狮头 100 n
狮尾 100 n
鼓点 100 n
背景音乐 100 n
BGM 100 eng
基本功 100 n
核心力量 100 n
臂力 100 n
下盘 100 n
精气神 100 n

# === 人物与地点 (可根据您的具体视频内容补充) ===
佛山祖庙 100 ns
潮汕 100 ns
马来西亚 100 ns
印尼 100 ns
韩国 100 ns
泰国 100 ns
越南 100 ns
小哥哥 100 n
小姐姐 100 n
UP主 100 n

# === 跨文化传播概念 ===
文化冲击 100 n
刻板印象 100 n
文化挪用 100 n
文化交流 100 n
